city,city_both,city_male,city_female,city_area,urban_both,urban_male,urban_female,urban_area,continent,date,code,country
Kakamega,,,,,107205.0,53530.0,53671.0,,AFRICA,24 VIII 2019,CDFC,Kenya
Karuri,,,,,194289.0,94681.0,99596.0,,AFRICA,24 VIII 2019,CDFC,Kenya
Kiambu,,,,,147826.0,70736.0,77073.0,,AFRICA,24 VIII 2019,CDFC,Kenya
Kikuyu,,,,,323825.0,156985.0,166822.0,,AFRICA,24 VIII 2019,CDFC,Kenya
Kisii,,,,,110426.0,54607.0,55812.0,,AFRICA,24 VIII 2019,CDFC,Kenya
Kisumu,,,,,397853.0,195377.0,202466.0,,AFRICA,24 VIII 2019,CDFC,Kenya
Kitale,,,,,162154.0,80510.0,81639.0,,AFRICA,24 VIII 2019,CDFC,Kenya
Kitengela,,,,,154327.0,75518.0,78804.0,,AFRICA,24 VIII 2019,CDFC,Kenya
Malindi,,,,,119825.0,58100.0,61721.0,,AFRICA,24 VIII 2019,CDFC,Kenya
Mandera,,,,,114718.0,60052.0,54661.0,,AFRICA,24 VIII 2019,CDFC,Kenya
Mlolongo,,,,,136266.0,69118.0,67148.0,,AFRICA,24 VIII 2019,CDFC,Kenya
Mombasa,,,,,1208112.0,610135.0,597947.0,,AFRICA,24 VIII 2019,CDFC,Kenya
NAIROBI,,,,,4395749.0,2191765.0,2203741.0,,AFRICA,24 VIII 2019,CDFC,Kenya
Naivasha,,,,,198399.0,99086.0,99291.0,,AFRICA,24 VIII 2019,CDFC,Kenya
Nakuru,,,,,570614.0,280669.0,289913.0,,AFRICA,24 VIII 2019,CDFC,Kenya
Ngong,,,,,102308.0,50454.0,51851.0,,AFRICA,24 VIII 2019,CDFC,Kenya
Ongata Rongai,,,,,172516.0,84943.0,87565.0,,AFRICA,24 VIII 2019,CDFC,Kenya
Ruiru,,,,,490035.0,238969.0,251034.0,,AFRICA,24 VIII 2019,CDFC,Kenya
Thika,,,,,248901.0,122108.0,126775.0,,AFRICA,24 VIII 2019,CDFC,Kenya
MASERU,330760.0,,,,,,,,AFRICA,10 IV 2016,CDJC,Lesotho
MONROVIA,,,,,970824.0,476473.0,494351.0,,AFRICA,21 III 2008,CDFC,Liberia
ANTANANARIVO,1275207.0,616106.0,659101.0,85.0,,,,,AFRICA,18 V 2018,CDJC,Madagascar
Antsirabe,245592.0,118912.0,126680.0,133.0,,,,,AFRICA,18 V 2018,CDJC,Madagascar
Antsiranana,131165.0,61178.0,69987.0,72.0,,,,,AFRICA,18 V 2018,CDJC,Madagascar
Fianarantsoa,189879.0,90848.0,99031.0,86.0,,,,,AFRICA,18 V 2018,CDJC,Madagascar
Mahajanga,244722.0,116007.0,128715.0,51.0,,,,,AFRICA,18 V 2018,CDJC,Madagascar
Toamasina,326286.0,154778.0,171508.0,31.0,,,,,AFRICA,18 V 2018,CDJC,Madagascar
Toliara,169760.0,80358.0,89402.0,32.0,,,,,AFRICA,18 V 2018,CDJC,Madagascar
Blantyre City,800264.0,401172.0,399092.0,,,,,,AFRICA,3 IX 2018,CDJC,Malawi
LILONGWE,989318.0,497201.0,492117.0,,,,,,AFRICA,3 IX 2018,CDJC,Malawi
Mzuzu City,221272.0,108848.0,112424.0,,,,,,AFRICA,3 IX 2018,CDJC,Malawi
Zomba City,105013.0,51619.0,53394.0,,,,,,AFRICA,3 IX 2018,CDJC,Malawi
BAMAKO13,,,,,1810366.0,907643.0,902723.0,,AFRICA,1 IV 2009,CDFC,Mali
Kayes,,,,,149129.0,76470.0,72659.0,,AFRICA,1 IV 2009,CDFC,Mali
Koutiala,,,,,141444.0,70905.0,70539.0,,AFRICA,1 IV 2009,CDFC,Mali
Mopti,,,,,120786.0,60080.0,60706.0,,AFRICA,1 IV 2009,CDFC,Mali
Ségou,,,,,133501.0,66819.0,66682.0,,AFRICA,1 IV 2009,CDFC,Mali
Sikasso,,,,,226618.0,114171.0,112447.0,,AFRICA,1 IV 2009,CDFC,Mali
NOUAKCHOTT,1195633.0,,,,,,,,AFRICA,1 VII 2019,ESDF,Mauritania
Beau Bassin - Rose Hill,103452.0,51269.0,52183.0,21.0,,,,,AFRICA,1 VII 2020,ESDJ,Mauritius
PORT LOUIS,145793.0,72899.0,72894.0,61.0,,,,,AFRICA,1 VII 2020,ESDJ,Mauritius
Vacoas - Phoenix,105688.0,51026.0,54662.0,106.0,,,,,AFRICA,1 VII 2020,ESDJ,Mauritius
Agadir,599292.0,,,,682108.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Al Hoceima,142933.0,,,,397147.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Azilal,112622.0,,,,566889.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Béni-Mellal,352388.0,,,,582328.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Benslimane,132989.0,,,,246302.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Berkane,205863.0,,,,299483.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Berrechid,356446.0,,,,561410.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Casablanca (Dar-el-Beida),3566020.0,,,,3566020.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Chtouka-Ait Baha,156908.0,,,,417749.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
El Hajeb,139854.0,,,,263755.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
El Kelâa des Sraghna,181170.0,,,,585961.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
El-Jadida,364833.0,,,,826877.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Errachidia,206458.0,,,,424458.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Essaouira,112169.0,,,,450123.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Fès,1229103.0,,,,1249416.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Fquih Ben Salah,224878.0,,,,520318.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Guelmim,154692.0,,,,199677.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Inezgane ait Melloul,600399.0,,,,628396.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Kénitra,696345.0,,,,1151373.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Khemisset,306939.0,,,,540677.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Khénifra,249269.0,,,,377314.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Khouribga,412976.0,,,,566288.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Laayoune,258879.0,,,,260281.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Larache,276849.0,,,,509283.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Marrakech,1044494.0,,,,1405373.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
M'Diq-Fnideq,241530.0,,,,253679.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Médiouna,181971.0,,,,242161.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Meknès,754733.0,,,,902391.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Midelt,138317.0,,,,303242.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Mohammedia,322220.0,,,,445164.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Nador,449124.0,,,,605894.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Nouaceur,407494.0,,,,470495.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Ouarzazate,131103.0,,,,310813.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Oued Ed-Dahab,143141.0,,,,164080.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Oujda,586196.0,,,,624459.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
RABAT,536821.0,,,,536821.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Rehamna,123834.0,,,,335028.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Safi,359785.0,,,,711848.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Salé,1024099.0,,,,1093602.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
Sefrou,171951.0,,,,297436.0,,,,AFRICA,1 VII 2020,ESDJ,Morocco
